138.162829, 532.250488,;138.022509, 529.489401,;130.042561, 527.803345,;130.064471, 529.494981,;142.376017, 521.706309,;135.687221, 511.887268,;138.537432, 511.304963,;135.260599, 515.785706,;131.923502, 525.275513,;131.383783, 516.147156,;138.175531, 522.700806,;133.622179, 521.7272,;145.091112, 511.318057,;145.465609, 515.300937,;142.00152, 511.668255,;147.759386, 522.4108,;149.10828, 515.444946,;131.432006, 531.220581,;137.631015, 535.527283,;140.082232, 534.764302,;132.192852, 536.510376,;146.615906, 529.715562,;149.279632, 526.024475,;144.780652, 529.769409,;142.516451, 536.052099,;148.714674, 533.186707,;145.652849, 541.055938,;142.563265, 541.056986,;149.070124, 541.545147,;132.680085, 538.850952,;132.779566, 541.039391,
138.161111, 532.222385,;137.988601, 529.489445,;130.04155, 527.816251,;130.060005, 529.506355,;142.342109, 521.706221,;135.687575, 511.85336,;138.50353, 511.304035,;135.294507, 515.785706,;131.924663, 525.241605,;131.385613, 516.160062,;138.179786, 522.666898,;133.588271, 521.726979,;145.057205, 511.319273,;145.431701, 515.30107,;142.035428, 511.668078,;147.793294, 522.411198,;149.095555, 515.441648,;131.432111, 531.254489,;137.630363, 535.561191,;140.064918, 534.863072,;132.191973, 536.544284,;146.608489, 529.722595,;149.279991, 525.990567,;144.771662, 529.735501,;142.550359, 536.051038,;148.714685, 533.220614,;145.618947, 541.055319,;142.529357, 541.057163,;149.088676, 541.534407,;132.679999, 538.845347,;132.745658, 541.037888,
138.160733, 532.21298,;137.975695, 529.489479,;130.039925, 527.850159,;130.049622, 529.5354,;142.329203, 521.706154,;135.687774, 511.840454,;138.490626, 511.303555,;135.307413, 515.785722,;131.925098, 525.228699,;131.389227, 516.19397,;138.18084, 522.653992,;133.575365, 521.726929,;145.044298, 511.319702,;145.418795, 515.301137,;142.048334, 511.668036,;147.8062, 522.41135,;149.070124, 515.435238,;131.432123, 531.267395,;137.630079, 535.574097,;140.062801, 534.871948,;132.191683, 536.55719,;146.605357, 529.735501,;149.280113, 525.977661,;144.767573, 529.722595,;142.563265, 536.05055,;148.714677, 533.233521,;145.606043, 541.055033,;142.516451, 541.057247,;149.110917, 541.520979,;132.67956, 538.817044,;132.732752, 541.037265,
138.160142, 532.203674,;137.941787, 529.489435,;130.041494, 527.863065,;130.05029, 529.569308,;142.295301, 521.706154,;135.688404, 511.806546,;138.477719, 511.303513,;135.341316, 515.785722,;131.926043, 525.194791,;131.38511, 516.227878,;138.17995, 522.620084,;133.541463, 521.726929,;145.010391, 511.320365,;145.384887, 515.300562,;142.082237, 511.658045,;147.840108, 522.411659,;149.036222, 515.433072,;131.432018, 531.301303,;137.629449, 535.608005,;140.047501, 534.931668,;132.189666, 536.591098,;146.596814, 529.769409,;149.280539, 525.943753,;144.766801, 529.721417,;142.597173, 536.051169,;148.714641, 533.246427,;145.572135, 541.054237,;142.482543, 541.057645,;149.11382, 541.519226,;132.679369, 538.804138,;132.69885, 541.016752,
138.158147, 532.169766,;137.928881, 529.489435,;130.046258, 527.896973,;130.050581, 529.582214,;142.282397, 521.70612,;135.688655, 511.79364,;138.443812, 511.303734,;135.35422, 515.785722,;131.926363, 525.181885,;131.384334, 516.240784,;138.179696, 522.607178,;133.528559, 521.726895,;144.997484, 511.320643,;145.371981, 515.300613,;142.095141, 511.654175,;147.853014, 522.411777,;149.023318, 515.432651,;131.432002, 531.314209,;137.629257, 535.620911,;140.017415, 535.059204,;132.188854, 536.604004,;146.597494, 529.803317,;149.280719, 525.930847,;144.76343, 529.715228,;142.610079, 536.051068,;148.714614, 533.280334,;145.559229, 541.05385,;142.469637, 541.057746,;149.116938, 541.515099,;132.678949, 538.77023,;132.685946, 541.008861,
138.1574, 532.15686,;137.894973, 529.489214,;130.0592, 527.916248,;130.05151, 529.595104,;142.248489, 521.705987,;135.688417, 511.759732,;138.409904, 511.314764,;135.388127, 515.785678,;131.913636, 525.147977,;131.382418, 516.25369,;138.179273, 522.594272,;133.494651, 521.726762,;144.963577, 511.32082,;145.359075, 515.300882,;142.096124, 511.653467,;147.886922, 522.412042,;149.010411, 515.433206,;131.431897, 531.348117,;137.628627, 535.654818,;139.998767, 535.118924,;132.18582, 536.637912,;146.597547, 529.816223,;149.281438, 525.896939,;144.750524, 529.707572,;142.622983, 536.05132,;148.714431, 533.314242,;145.525321, 541.054027,;142.435735, 541.058055,;149.127536, 541.490964,;132.678833, 538.757324,;132.684233, 541.005501,
138.15672, 532.122953,;137.882067, 529.489129,;130.064471, 527.92387,;130.053245, 529.628967,;142.235583, 521.705937,;135.688293, 511.746826,;138.396998, 511.318971,;135.401034, 515.785661,;131.908811, 525.135071,;131.376958, 516.287598,;138.176725, 522.560364,;133.481745, 521.726678,;144.95067, 511.320988,;145.325167, 515.299998,;142.096484, 511.653198,;147.899828, 522.412109,;148.976504, 515.433295,;131.431903, 531.361023,;137.628423, 535.667725,;139.959484, 535.24646,;132.18472, 536.650818,;146.597685, 529.850131,;149.281724, 525.884033,;144.716616, 529.684539,;142.656885, 536.052646,;148.714339, 533.327148,;145.512415, 541.054128,;142.422831, 541.058139,;149.138115, 541.472412,;132.678574, 538.723416,;132.683602, 541.004272,
138.156451, 532.110046,;137.866321, 529.488991,;130.098378, 527.934436,;130.053135, 529.662875,;142.222676, 521.705886,;135.693885, 511.712918,;138.392107, 511.323613,;135.434941, 515.785706,;131.895284, 525.126362,;131.375997, 516.30033,;138.176521, 522.547458,;133.447837, 521.72659,;144.916768, 511.320855,;145.291259, 515.299556,;142.115344, 511.61929,;147.933736, 522.412375,;148.942596, 515.434223,;131.431439, 531.394931,;137.627832, 535.701632,;139.929343, 535.326412,;132.181432, 536.684726,;146.597607, 529.863037,;149.282509, 525.850125,;144.682708, 529.683876,;142.690793, 536.053088,;148.714084, 533.361056,;145.478513, 541.069247,;142.388923, 541.058139,;149.141309, 541.438504,;132.678492, 538.71051,;132.676738, 540.970409,
138.156258, 532.076139,;137.835253, 529.488748,;130.111284, 527.938171,;130.053177, 529.675781,;142.188769, 521.705665,;135.695972, 511.700012,;138.390105, 511.325531,;135.447848, 515.785739,;131.890139, 525.123064,;131.375208, 516.311469,;138.175681, 522.51355,;133.434931, 521.726539,;144.903864, 511.320906,;145.278353, 515.300128,;142.12246, 511.606384,;147.946642, 522.412425,;148.92969, 515.434947,;131.431353, 531.407837,;137.627586, 535.714539,;139.894984, 535.419563,;132.180387, 536.697632,;146.596999, 529.896945,;149.282816, 525.837219,;144.669802, 529.683641,;142.703699, 536.053374,;148.713956, 533.373962,;145.465609, 541.075237,;142.376017, 541.058156,;149.14149, 541.425598,;132.678282, 538.676602,;132.674122, 540.95752,
138.156047, 532.063232,;137.821719, 529.488586,;130.145192, 527.938039,;130.052956, 529.709689,;142.154861, 521.705444,;135.719668, 511.675764,;138.376881, 511.359439,;135.481755, 515.785739,;131.877233, 525.12123,;131.373523, 516.332645,;138.17824, 522.479686,;133.401029, 521.726628,;144.869956, 511.321326,;145.265449, 515.299673,;142.124057, 511.572476,;147.98055, 522.412602,;148.895782, 515.435964,;131.430833, 531.441745,;137.627105, 535.748446,;139.888965, 535.433655,;132.183863, 536.731495,;146.59678, 529.909851,;149.284015, 525.803311,;144.635894, 529.686028,;142.737607, 536.052932,;148.713603, 533.40787,;145.457336, 541.09186,;142.363111, 541.058206,;149.137732, 541.39169,;132.678195, 538.663696,;132.673901, 540.923612,
